Date ,Route Name,Route Name (English),Station Name,Station Name (English),Boarding Passengers,Leaving Passengers,Recorded Date,,,Route Name,Route Name (English),,Station Name,Station Name (English)
20251201,5호선,Line 5,광나루(장신대),Gwangnaru (Korea Baptist Theological Univ.),12981,12549,20251204,,,,,,하남풍산,Hanam Pungsan
20251201,5호선,Line 5,천호(풍납토성),Cheonho (Pungnap Fortress),21179,20676,20251204,,,,,,하남시청(덕풍·신장),Hanam City Hall (Deokpung–Sinjang)
20251201,5호선,Line 5,강동,Gangdong,21047,20398,20251204,,,,,,하남검단산,Hanam Geomdansan
20251201,5호선,Line 5,길동,Gildong,9882,10186,20251204,,,,,,응암,Eungam
20251201,5호선,Line 5,굽은다리(강동구민회관앞),Gubeundari (Gangdong Community Center),10676,10259,20251204,,,,,,역촌,Yeokchon
20251201,5호선,Line 5,명일,Myeongil,8922,8872,20251204,,,,,,독바위,Dokbawi
20251201,5호선,Line 5,고덕,Godeok,12105,11959,20251204,,,,,,구산,Gusan
20251201,5호선,Line 5,상일동,Sangil-dong,16727,15993,20251204,,,,,,새절(신사),Saejeol (Sinsa)
20251201,5호선,Line 5,둔촌동,Dunchon-dong,14689,14469,20251204,,,,,,증산(명지대앞),Jeungsan (Myongji Univ.)
20251201,5호선,Line 5,올림픽공원(한국체대),Olympic Park (Korea National Sport Univ.),5297,4438,20251204,,,,,,디지털미디어시티,Digital Media City
20251201,5호선,Line 5,방이,Bangi,7984,8318,20251204,,,,,,월드컵경기장(성산),World Cup Stadium (Seongsan)
20251201,5호선,Line 5,오금,Ogeum,4261,4323,20251204,,,,,,마포구청,Mapo-gu Office
20251201,5호선,Line 5,개롱,Gaerong,7175,7573,20251204,,,,,,망원,Mangwon
20251201,5호선,Line 5,거여,Geoyeo,11552,11342,20251204,,,,,,상수,Sangsu
20251201,5호선,Line 5,마천,Macheon,8153,7198,20251204,,,,,,광흥창(서강),Gwangheungchang (Sogang Univ.)
20251201,5호선,Line 5,강일,Gangil,6722,6344,20251204,,,,,,대흥(서강대앞),Daeheung (Sogang Univ. Front)
20251201,5호선,Line 5,미사,Misa,19330,19507,20251204,,,,,,효창공원앞,Hyochang Park
20251201,5호선,Line 5,하남풍산,Hanam Pungsan,5258,5037,20251204,,,,,,녹사평(용산구청),Noksapyeong (Yongsan District Office)
20251201,5호선,Line 5,하남시청(덕풍·신장),Hanam City Hall (Deokpung–Sinjang),9527,9084,20251204,,,,,,이태원,Itaewon
20251201,5호선,Line 5,하남검단산,Hanam Geomdansan,7063,6638,20251204,,,,,,한강진,Hangangjin
20251201,6호선,Line 6,응암,Eungam,19786,19625,20251204,,,,,,버티고개,Beotigogae
20251201,6호선,Line 6,역촌,Yeokchon,4222,5021,20251204,,,,,,창신,Changsin
20251201,6호선,Line 6,불광,Bulgwang,5071,4895,20251204,,,,,,보문,Bomun
20251201,6호선,Line 6,독바위,Dokbawi,2888,3073,20251204,,,,,,안암(고대병원앞),Anam (Korea Univ. Hospital)
20251201,6호선,Line 6,구산,Gusan,9031,7157,20251204,,,,,,고려대(종암),Korea Univ. (Jongam)
20251201,6호선,Line 6,새절(신사),Saejeol (Sinsa),14223,13435,20251204,,,,,,월곡(동덕여대),Wolgok (Dongduk Women’s Univ.)
20251201,6호선,Line 6,증산(명지대앞),Jeungsan (Myongji Univ.),10167,10181,20251204,,,,,,상월곡(한국과학기술연구원),Sangwolgok (KIST)
20251201,6호선,Line 6,디지털미디어시티,Digital Media City,16656,18103,20251204,,,,,,돌곶이,Dolgoji
20251201,6호선,Line 6,월드컵경기장(성산),World Cup Stadium (Seongsan),4226,4351,20251204,,,,,,석계,Seokgye
20251201,6호선,Line 6,마포구청,Mapo-gu Office,16467,15055,20251204,,,,,,태릉입구,Taereung Entrance
20251201,6호선,Line 6,망원,Mangwon,15908,16787,20251204,,,,,,화랑대(서울여대입구),Hwarangdae (Seoul Women’s Univ.)
20251201,6호선,Line 6,합정,Hapjeong,13224,13037,20251204,,,,,,봉화산(서울의료원),Bonghwasan (Seoul Medical Center)
20251201,6호선,Line 6,상수,Sangsu,10231,11168,20251204,,,,,,장암,Jangam
20251201,6호선,Line 6,광흥창(서강),Gwangheungchang (Sogang Univ.),10900,10405,20251204,,,,,,도봉산,Dobongsan
20251201,6호선,Line 6,대흥(서강대앞),Daeheung (Sogang Univ. Front),10883,11428,20251204,,,,,,수락산,Suraksan
20251201,6호선,Line 6,공덕,Gongdeok,21436,20951,20251204,,,,,,마들,Madeul
20251201,6호선,Line 6,효창공원앞,Hyochang Park,8730,8232,20251204,,,,,,중계,Junggye
20251201,6호선,Line 6,삼각지(전쟁기념관),Samgakji (War Memorial of Korea),7663,6959,20251204,,,,,,하계,Hagye
20251201,6호선,Line 6,녹사평(용산구청),Noksapyeong (Yongsan District Office),4992,4982,20251204,,,,,,공릉(서울과학기술대),Gongneung (SeoulTech)
20251201,6호선,Line 6,이태원,Itaewon,10565,10508,20251204,,,,,,먹골,Meokgol
20251201,6호선,Line 6,한강진,Hangangjin,8322,9855,20251204,,,,,,중화,Junghwa
20251201,6호선,Line 6,버티고개,Beotigogae,2498,2229,20251204,,,,,,상봉,Sangbong
20251201,6호선,Line 6,약수,Yaksu,4047,4050,20251204,,,,,,면목,Myeonmok
20251201,6호선,Line 6,청구,Cheonggu,4120,4166,20251204,,,,,,사가정,Sagajeong
20251201,6호선,Line 6,신당,Sindang,9067,9413,20251204,,,,,,용마산(용마폭포공원),Yongmasan (Yongma Falls Park)
20251201,6호선,Line 6,동묘앞,Dongmyo,9191,9655,20251204,,,,,,중곡,Junggok
20251201,6호선,Line 6,창신,Changsin,4185,3528,20251204,,,,,,어린이대공원(세종대),Children’s Grand Park (Sejong Univ.)
20251201,6호선,Line 6,보문,Bomun,8864,8564,20251204,,,,,,자양(뚝섬한강공원),Jayang (Ttukseom Hangang Park)
20251201,6호선,Line 6,안암(고대병원앞),Anam (Korea Univ. Hospital),16038,16812,20251204,,,,,,청담,Cheongdam
20251201,6호선,Line 6,고려대(종암),Korea Univ. (Jongam),10391,10047,20251204,,,,,,강남구청,Gangnam-gu Office
20251201,6호선,Line 6,월곡(동덕여대),Wolgok (Dongduk Women’s Univ.),14161,13778,20251204,,,,,,학동,Hakdong
20251201,6호선,Line 6,상월곡(한국과학기술연구원),Sangwolgok (KIST),7521,7348,20251204,,,,,,논현,Nonhyeon
20251201,6호선,Line 6,돌곶이,Dolgoji,13266,12364,20251204,,,,,,반포,Banpo
20251201,6호선,Line 6,석계,Seokgye,14047,14401,20251204,,,,,,내방,Naebang
20251201,6호선,Line 6,태릉입구,Taereung Entrance,6184,7133,20251204,,,,,,이수,Isu
20251201,6호선,Line 6,화랑대(서울여대입구),Hwarangdae (Seoul Women’s Univ.),13741,11707,20251204,,,,,,남성,Namseong
20251201,6호선,Line 6,봉화산(서울의료원),Bonghwasan (Seoul Medical Center),9770,9089,20251204,,,,,,숭실대입구(살피재),Soongsil Univ. (Salpijae)
20251201,7호선,Line 7,장암,Jangam,3065,1067,20251204,,,,,,상도,Sangdo
20251201,7호선,Line 7,도봉산,Dobongsan,10374,11474,20251204,,,,,,장승배기,Jangseungbaegi
20251201,7호선,Line 7,수락산,Suraksan,13688,13693,20251204,,,,,,신대방삼거리,Sindaebangsamgeori
20251201,7호선,Line 7,마들,Madeul,14965,14248,20251204,,,,,,보라매,Boramae
20251201,7호선,Line 7,노원,Nowon,22779,23715,20251204,,,,,,신풍,Sinpung
20251201,7호선,Line 7,중계,Junggye,16713,15712,20251204,,,,,,남구로,Namguro
20251201,7호선,Line 7,하계,Hagye,20380,19245,20251204,,,,,,가산디지털단지,Gasan Digital Complex
20251201,7호선,Line 7,공릉(서울과학기술대),Gongneung (SeoulTech),13780,13692,20251204,,,,,,철산,Cheolsan
20251201,7호선,Line 7,태릉입구,Taereung Entrance,9528,9399,20251204,,,,,,광명사거리,Gwangmyeong Sageori
20251201,7호선,Line 7,먹골,Meokgol,11209,11172,20251204,,,,,,천왕,Cheonwang
20251201,7호선,Line 7,중화,Junghwa,12219,12368,20251204,,,,,,금정,Geumjeong
20251201,7호선,Line 7,상봉,Sangbong,19101,18809,20251204,,,,,,온수(성공회대입구),Onsu (Sungkonghoe Univ.)
20251201,7호선,Line 7,면목,Myeonmok,16648,16557,20251204,,,,,,암사역사공원,Amsa Historic Park
20251201,7호선,Line 7,사가정,Sagajeong,17522,18005,20251204,,,,,,암사,Amsa
20251201,7호선,Line 7,용마산(용마폭포공원),Yongmasan (Yongma Falls Park),6246,6142,20251204,,,,,,강동구청,Gangdong-gu Office
